IdOportunidad,IdEmpresa,IdPropietario,TipoDivisaAjuste,Zona,Importe,FechaCierre,Participantes,ImporteEnMXN,ClasificacionZona,RangoImporte,RendimientoPorZona,AñoCierre,MesCierre,ImporteAcumulado,CrecimientoRelativo
0068X00001IolDgQAJ,0018X00003Hr48pQAB,0053f000000DoGpAAK,MXN,ZONA 3,0,07/08/2023,0,0,Periferica,Muy Bajo,0,2023,8,32300055,106.66685
0068X00001IollwQAB,0018X00003Hr4pyQAB,0053f000000DoGpAAK,MXN,ZONA 3,0,07/08/2023,0,0,Periferica,Muy Bajo,0,2023,8,32300055,106.66685
0068X00001EvFhqQAF,0013f00000AeKxcAAF,0058X00000FQzgUQAT,MXN,ZONA 2,825000,07/07/2023,25,825000,Central,Bajo,33000,2023,7,25877448,114.01088
0068X00001GNx0wQAD,0014100001uMrBoAAK,0053f000000m1eKAAQ,MXN,ZONA 3,100000,07/07/2023,0,100000,Periferica,Bajo,100000,2023,7,29932590,29.02265797
0068X00001HkUw1QAF,0014100001uMq7LAAS,00541000007Mji0AAC,MXN,ZONA 4,381500,07/07/2023,50,381500,Periferica,Bajo,7630,2023,7,71711995,310.7912826
0068X00001IolTtQAJ,0014100001uMq7JAAS,0053f000000DoGpAAK,MXN,ZONA 3,989600,07/07/2023,30,989600,Periferica,Bajo,32986.66667,2023,7,33289655,109.9655167
0068X00001IorR0QAJ,0018X00003HrCFKQA3,0053f000000nxsbAAA,MXN,ZONA 1,353000,07/07/2023,0,353000,Central,Bajo,353000,2023,7,33449217,18.71311704
0068X00001IpJkOQAV,0018X00003Hrk2KQAR,00541000007MjhWAAS,MXN,ZONA 2,720000,07/07/2023,0,720000,Central,Bajo,720000,2023,7,39185400,42.78256983
0068X00001IpJogQAF,0012M000027cSggQAE,00541000007MjhWAAS,MXN,ZONA 2,67000,07/07/2023,20,67000,Central,Bajo,3350,2023,7,39252400,42.85743017
0068X00001IpOLHQA3,0014100001uMqiYAAS,00541000007MjftAAC,MXN,ZONA 2,21500,07/07/2023,10,21500,Central,Muy Bajo,2150,2023,7,25249483,212.9786695
0068X00001IpQfGQAV,0014100001uMq6rAAC,00541000007MjhWAAS,MXN,ZONA 2,60000,07/07/2023,22,60000,Central,Bajo,2727.272727,2023,7,39312400,42.92446927
0068X00001J7tzLQAR,0014100001uMrrkAAC,00541000007MjiFAAS,MXN,ZONA 2,328300,07/07/2023,25,328300,Central,Bajo,13132,2023,7,51605295.4,317.5512062
0068X00001J8dM0QAJ,0014100001uNFo7AAG,00541000007MjgQAAS,MXN,ZONA 3,519000,07/07/2023,32,519000,Periferica,Bajo,16218.75,2023,7,21810565,53.5264125
0068X00001J8f6kQAB,0018X00003F0Tp9QAF,0053f000000naCIAAY,MXN,ZONA 1,717720,07/07/2023,25,717720,Central,Bajo,28708.8,2023,7,57172618,104.8752185
0068X00001HjhjyQAB,0014100001uNFoEAAW,00541000007MjgQAAS,MXN,ZONA 3,361000,07/06/2023,15,361000,Periferica,Bajo,24066.66667,2023,6,22171565,54.4289125
0068X00001HkGyvQAF,0018X00003ExnsNQAR,0053f000000nxsWAAQ,USD,ZONA 1,10913,07/06/2023,300,220442.6,Central,Bajo,734.8086667,2023,6,84992883.6,12.24505068
0068X00001Hlf4BQAR,0014100001uMuYXAA0,0053f000000lhfmAAA,MXN,ZONA 5,400000,07/06/2023,0,400000,Periferica,Bajo,400000,2023,6,34863655,99.18291667
0068X00001IpF1sQAF,0014100001uMr9eAAC,00541000007Mjg5AAC,MXN,ZONA 3,95000,07/06/2023,0,95000,Periferica,Bajo,95000,2023,6,62776236,61.776236
0068X00001IpNFyQAN,0014100001uMqHJAA0,0052M000008g7RkQAI,MXN,ZONA 4,602640,07/06/2023,540,602640,Periferica,Bajo,1116,2023,6,32830592,9.018948685
0068X00001IpNzwQAF,0014100001uMqtnAAC,00541000007MjgwAAC,MXN,ZONA 5,200000,07/06/2023,12,200000,Periferica,Bajo,16666.66667,2023,6,20375100,32.9585
0068X00001IpOJLQA3,0012M000026eQznQAE,00541000007MjguAAC,MXN,ZONA 2,130000,07/06/2023,43,130000,Central,Bajo,3023.255814,2023,6,26638525,27.53006854
0068X00001IpORjQAN,0014100001uMqjDAAS,00541000007Mjg1AAC,MXN,ZONA 1,251780,07/06/2023,24,251780,Central,Bajo,10490.83333,2023,6,28229307,18.82255951
0068X00001IpOYsQAN,0014100001uMqrAAAS,0058X00000F1ld7QAB,MXN,ZONA 3,37717,07/06/2023,0,37717,Periferica,Muy Bajo,37717,2023,6,29175679,48.28324155
